"Name","val/acc_best","dataset/snr_db","model/backbone/delta","seed","test/acc","Tags"
"lively-sweep-34","0.5067999958992004","40","2.5","3","0.48559999465942383","05/24, airgnn, delta_sweep, k1"
"blooming-sweep-31","0.5220000147819519","40","2.5","0","0.4887999892234802","05/24, airgnn, delta_sweep, k1"
"atomic-sweep-32","0.5127999782562256","40","2.5","1","0.4887999892234802","05/24, airgnn, delta_sweep, k1"
"polished-sweep-35","0.503600001335144","40","2.5","4","0.4875999987125397","05/24, airgnn, delta_sweep, k1"
"ethereal-sweep-33","0.4867999851703644","40","2.5","2","0.4796000123023987","05/24, airgnn, delta_sweep, k1"
"good-sweep-29","0.5152000188827515","40","2","3","0.4839999973773956","05/24, airgnn, delta_sweep, k1"
"fallen-sweep-27","0.49880000948905945","40","2","1","0.4776000082492829","05/24, airgnn, delta_sweep, k1"
"morning-sweep-28","0.5027999877929688","40","2","2","0.5067999958992004","05/24, airgnn, delta_sweep, k1"
"rural-sweep-26","0.5392000079154968","40","2","0","0.4991999864578247","05/24, airgnn, delta_sweep, k1"
"pretty-sweep-30","0.4936000108718872","40","2","4","0.47360000014305115","05/24, airgnn, delta_sweep, k1"
"copper-sweep-21","0.5099999904632568","40","1.5","0","0.4776000082492829","05/24, airgnn, delta_sweep, k1"
"fallen-sweep-22","0.4912000000476837","40","1.5","1","0.4779999852180481","05/24, airgnn, delta_sweep, k1"
"playful-sweep-25","0.4880000054836273","40","1.5","4","0.4668000042438507","05/24, airgnn, delta_sweep, k1"
"sleek-sweep-24","0.5080000162124634","40","1.5","3","0.4787999987602234","05/24, airgnn, delta_sweep, k1"
"floral-sweep-23","0.4936000108718872","40","1.5","2","0.4912000000476837","05/24, airgnn, delta_sweep, k1"
"eternal-sweep-17","0.49239999055862427","40","1","1","0.4699999988079071","05/24, airgnn, delta_sweep, k1"
"colorful-sweep-20","0.45719999074935913","40","1","4","0.44440001249313354","05/24, airgnn, delta_sweep, k1"
"treasured-sweep-16","0.4844000041484833","40","1","0","0.451200008392334","05/24, airgnn, delta_sweep, k1"
"stoic-sweep-19","0.46959999203681946","40","1","3","0.454800009727478","05/24, airgnn, delta_sweep, k1"
"dauntless-sweep-18","0.4731999933719635","40","1","2","0.4704000055789947","05/24, airgnn, delta_sweep, k1"
"tough-sweep-15","0.4255999922752381","40","0.75","4","0.4180000126361847","05/24, airgnn, delta_sweep, k1"
"leafy-sweep-11","0.44679999351501465","40","0.75","0","0.41999998688697815","05/24, airgnn, delta_sweep, k1"
"jumping-sweep-12","0.45399999618530273","40","0.75","1","0.4352000057697296","05/24, airgnn, delta_sweep, k1"
"volcanic-sweep-14","0.4611999988555908","40","0.75","3","0.4343999922275543","05/24, airgnn, delta_sweep, k1"
"sweepy-sweep-13","0.446399986743927","40","0.75","2","0.4431999921798706","05/24, airgnn, delta_sweep, k1"
"dauntless-sweep-9","0.4255999922752381","40","0.5","3","0.4004000127315521","05/24, airgnn, delta_sweep, k1"
"dulcet-sweep-7","0.44359999895095825","40","0.5","1","0.4180000126361847","05/24, airgnn, delta_sweep, k1"
"azure-sweep-6","0.4379999935626984","40","0.5","0","0.4180000126361847","05/24, airgnn, delta_sweep, k1"
"summer-sweep-10","0.35199999809265137","40","0.5","4","0.3476000130176544","05/24, airgnn, delta_sweep, k1"
"logical-sweep-8","0.4192000031471253","40","0.5","2","0.4099999964237213","05/24, airgnn, delta_sweep, k1"
"deep-sweep-4","0.3384000062942505","40","0.25","3","0.3208000063896179","05/24, airgnn, delta_sweep, k1"
"sparkling-sweep-1","0.3336000144481659","40","0.25","0","0.32519999146461487","05/24, airgnn, delta_sweep, k1"
"glad-sweep-3","0.34200000762939453","40","0.25","2","0.33480000495910645","05/24, airgnn, delta_sweep, k1"
"usual-sweep-2","0.33399999141693115","40","0.25","1","0.32919999957084656","05/24, airgnn, delta_sweep, k1"
"quiet-sweep-5","0.2919999957084656","40","0.25","4","0.29159998893737793","05/24, airgnn, delta_sweep, k1"