"Name","val/acc_best","dataset/mat_flag","dataset/n_sources","dataset/snr_db","dataset/spike","model.backbone.k","model.backbone.p","model.backbone.hidden_dim","model.backbone.snr_db","Created","dataset/n_community","_target_","delta","k_diffusion","mat_flag","model.backbone.hidden_ffnn","n_community","n_nodes","n_sources","num_samples","p_inter","p_intra","snr_db","spike"
"jolly-sweep-20","0.5479999780654907","abs_lower","0.85","40","0.5","","","","40","2023-05-20T14:27:36.000Z","10","","","","","","","","","","","","",""
"young-sweep-28","0.5472000241279602","abs_lower","0.85","40","0.5","","","","100","2023-05-20T15:13:08.000Z","10","","","","","","","","","","","","",""
"rich-sweep-25","0.5464000105857849","abs_lower","0.85","40","0.5","","","","60","2023-05-20T14:56:02.000Z","10","","","","","","","","","","","","",""
"spring-sweep-18","0.545199990272522","abs_lower","0.85","40","0.5","","","","40","2023-05-20T14:16:12.000Z","10","","","","","","","","","","","","",""
"revived-sweep-30","0.5440000295639038","abs_lower","0.85","40","0.5","","","","100","2023-05-20T15:24:34.000Z","10","","","","","","","","","","","","",""
"upbeat-sweep-23","0.5440000295639038","abs_lower","0.85","40","0.5","","","","60","2023-05-20T14:44:40.000Z","10","","","","","","","","","","","","",""
"graceful-sweep-15","0.5428000092506409","abs_lower","0.85","40","0.5","","","","20","2023-05-20T13:58:59.000Z","10","","","","","","","","","","","","",""
"honest-sweep-17","0.5360000133514404","abs_lower","0.85","40","0.5","","","","40","2023-05-20T14:10:30.000Z","10","","","","","","","","","","","","",""
"glad-sweep-13","0.5332000255584717","abs_lower","0.85","40","0.5","","","","20","2023-05-20T13:47:38.000Z","10","","","","","","","","","","","","",""
"comfy-sweep-27","0.5311999917030334","abs_lower","0.85","40","0.5","","","","100","2023-05-20T15:07:29.000Z","10","","","","","","","","","","","","",""
"volcanic-sweep-22","0.5296000242233276","abs_lower","0.85","40","0.5","","","","60","2023-05-20T14:39:01.000Z","10","","","","","","","","","","","","",""
"charmed-sweep-14","0.5284000039100647","abs_lower","0.85","40","0.5","","","","20","2023-05-20T13:53:20.000Z","10","","","","","","","","","","","","",""
"valiant-sweep-16","0.527999997138977","abs_lower","0.85","40","0.5","","","","40","2023-05-20T14:04:48.000Z","10","","","","","","","","","","","","",""
"sage-sweep-12","0.527999997138977","abs_lower","0.85","40","0.5","","","","20","2023-05-20T13:41:55.000Z","10","","","","","","","","","","","","",""
"true-sweep-21","0.525600016117096","abs_lower","0.85","40","0.5","","","","60","2023-05-20T14:33:18.000Z","10","","","","","","","","","","","","",""
"leafy-sweep-26","0.5231999754905701","abs_lower","0.85","40","0.5","","","","100","2023-05-20T15:01:46.000Z","10","","","","","","","","","","","","",""
"azure-sweep-29","0.5123999714851379","abs_lower","0.85","40","0.5","","","","100","2023-05-20T15:18:50.000Z","10","","","","","","","","","","","","",""
"expert-sweep-19","0.5116000175476074","abs_lower","0.85","40","0.5","","","","40","2023-05-20T14:21:53.000Z","10","","","","","","","","","","","","",""
"amber-sweep-24","0.5103999972343445","abs_lower","0.85","40","0.5","","","","60","2023-05-20T14:50:19.000Z","10","","","","","","","","","","","","",""
"winter-sweep-11","0.5095999836921692","abs_lower","0.85","40","0.5","","","","20","2023-05-20T13:36:11.000Z","10","","","","","","","","","","","","",""
"legendary-sweep-8","0.4912000000476837","abs_lower","0.85","40","0.5","","","","10","2023-05-20T13:19:07.000Z","10","","","","","","","","","","","","",""
"firm-sweep-9","0.4787999987602234","abs_lower","0.85","40","0.5","","","","10","2023-05-20T13:24:51.000Z","10","","","","","","","","","","","","",""
"cool-sweep-6","0.4124000072479248","abs_lower","0.85","40","0.5","","","","10","2023-05-20T13:07:45.000Z","10","","","","","","","","","","","","",""
"sandy-sweep-10","0.3828000128269195","abs_lower","0.85","40","0.5","","","","10","2023-05-20T13:30:31.000Z","10","","","","","","","","","","","","",""
"easy-sweep-7","0.376800000667572","abs_lower","0.85","40","0.5","","","","10","2023-05-20T13:13:29.000Z","10","","","","","","","","","","","","",""
"azure-sweep-3","0.3100000023841858","abs_lower","0.85","40","0.5","","","","0","2023-05-20T12:50:42.000Z","10","","","","","","","","","","","","",""
"glowing-sweep-5","0.28519999980926514","abs_lower","0.85","40","0.5","","","","0","2023-05-20T13:02:02.000Z","10","","","","","","","","","","","","",""
"wise-sweep-1","0.2720000147819519","abs_lower","0.85","40","0.5","","","","0","2023-05-20T12:39:10.000Z","10","","","","","","","","","","","","",""
"visionary-sweep-4","0.266400009393692","abs_lower","0.85","40","0.5","","","","0","2023-05-20T12:56:20.000Z","10","","","","","","","","","","","","",""
"bright-sweep-2","0.2655999958515167","abs_lower","0.85","40","0.5","","","","0","2023-05-20T12:44:49.000Z","10","","","","","","","","","","","","",""